Player,Nation,Pos,Age,PrgC,PrgP,PrgR,G+A,xG+xAG,Min,Squad
Ronald Araújo,uy URU,DF,26.0,6,49,3,2,0.17,754,Barcelona
Alejandro Balde,es ESP,DF,21.0,107,93,246,4,0.15,2284,Barcelona
Marc Bernal,es ESP,MF,18.0,0,8,2,0,0.03,242,Barcelona
Marc Casado,es ESP,MF,21.0,12,107,24,4,0.13,1611,Barcelona
Andreas Christensen,dk DEN,DF,29.0,1,15,1,0,0.03,254,Barcelona
Pau Cubarsí,es ESP,DF,18.0,26,191,6,3,0.08,2618,Barcelona
Sergi Dominguez,es ESP,DF,20.0,0,13,1,0,0.0,172,Barcelona
Ansu Fati,es ESP,FW,22.0,7,6,32,0,0.44,233,Barcelona
Héctor Fort,es ESP,DF,18.0,14,26,33,0,0.17,585,Barcelona
Eric García,es ESP,"DF,MF",24.0,18,109,22,5,0.18,1566,Barcelona
Gavi,es ESP,"MF,FW",20.0,13,77,42,2,0.2,1085,Barcelona
Frenkie de Jong,nl NED,MF,28.0,36,120,24,4,0.21,1143,Barcelona
Jules Koundé,fr FRA,DF,26.0,44,165,190,5,0.2,2605,Barcelona
Robert Lewandowski,pl POL,FW,36.0,26,48,164,29,0.99,2667,Barcelona
Fermin López,es ESP,"MF,FW",22.0,31,78,108,11,0.68,1252,Barcelona
Gerard Martín,es ESP,DF,23.0,10,40,122,4,0.14,1038,Barcelona
Iñigo Martínez,es ESP,DF,34.0,70,260,11,4,0.11,2490,Barcelona
Dani Olmo,es ESP,"MF,FW",27.0,33,81,96,13,0.71,1212,Barcelona
Pedri,es ESP,MF,22.0,92,360,136,9,0.3,2879,Barcelona
Iñaki Peña,es ESP,GK,26.0,0,3,0,0,0.0,1396,Barcelona
Raphinha,br BRA,"FW,MF",28.0,94,135,349,27,1.01,2839,Barcelona
Daniel Rodriguez,es ESP,FW,19.0,4,2,9,0,0.06,37,Barcelona
Wojciech Szczęsny,pl POL,GK,35.0,0,0,0,0,0.0,1350,Barcelona
Marc-André ter Stegen,de GER,GK,33.0,0,2,0,0,0.0,674,Barcelona
Pablo Torre,es ESP,"MF,FW",22.0,5,17,20,4,0.33,310,Barcelona
Ferrán Torres,es ESP,"FW,MF",25.0,23,35,98,16,0.9,1106,Barcelona
Pau Victor Delgado,es ESP,FW,23.0,6,11,28,3,1.09,319,Barcelona
Lamine Yamal,es ESP,FW,17.0,181,160,433,22,0.75,2856,Barcelona
